timestamp,dataset,model_noise_type,model_noise_level,test_noise_type,test_noise_level,noisy_mae,noisy_psnr,noisy_ssim,denosied_mae,denoised_psnr,denoised_ssim
09_03_2023_15_55_40,faciesmark,gaussian,0.01,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.02877003885805607,34.79288101196289,0.8614818453788757
09_03_2023_15_56_38,faciesmark,gaussian,0.01,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.0127328522503376,39.96084976196289,0.9681572914123535
09_03_2023_15_57_39,faciesmark,gaussian,0.01,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.0294028427451849,33.481040954589844,0.8644463419914246
09_03_2023_15_58_41,faciesmark,gaussian,0.01,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.06676491349935532,26.84740447998047,0.5924174189567566
09_03_2023_15_59_45,faciesmark,gaussian,0.01,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.11807005107402802,22.145761489868164,0.3368626534938812
09_03_2023_16_00_51,faciesmark,gaussian,0.01,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.1994401067495346,17.909446716308594,0.14965426921844482
09_03_2023_16_01_55,faciesmark,gaussian,0.01,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.26403090357780457,15.7479829788208,0.0840940997004509
09_03_2023_16_02_59,faciesmark,gaussian,0.01,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.17818379402160645,18.79340934753418,0.4182857871055603
09_03_2023_16_04_04,faciesmark,gaussian,0.01,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.03591877222061157,33.24261474609375,0.8192722797393799
09_03_2023_16_05_10,faciesmark,gaussian,0.05,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.05926238372921944,28.4721736907959,0.6940852403640747
09_03_2023_16_06_16,faciesmark,gaussian,0.05,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.04493466019630432,30.94110870361328,0.7905324101448059
09_03_2023_16_07_20,faciesmark,gaussian,0.05,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.02958746813237667,34.35157012939453,0.8718665242195129
09_03_2023_16_08_26,faciesmark,gaussian,0.05,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.02080186828970909,35.737342834472656,0.9330242872238159
09_03_2023_16_09_31,faciesmark,gaussian,0.05,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.03486258536577225,31.78068733215332,0.858120322227478
09_03_2023_16_10_36,faciesmark,gaussian,0.05,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.0843738317489624,25.098772048950195,0.5213559865951538
09_03_2023_16_11_41,faciesmark,gaussian,0.05,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.1354752629995346,21.128414154052734,0.29306694865226746
09_03_2023_16_12_47,faciesmark,gaussian,0.05,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.1356354057788849,20.8753604888916,0.6877686381340027
09_03_2023_16_13_59,faciesmark,gaussian,0.05,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.06652741134166718,27.576356887817383,0.6708507537841797
09_03_2023_16_15_04,faciesmark,gaussian,0.1,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.07504148036241531,26.100719451904297,0.6510153412818909
09_03_2023_16_16_09,faciesmark,gaussian,0.1,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.063266322016716,27.755006790161133,0.6966394782066345
09_03_2023_16_17_14,faciesmark,gaussian,0.1,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.04823881387710571,30.19981575012207,0.7595106959342957
09_03_2023_16_18_19,faciesmark,gaussian,0.1,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.034779295325279236,32.78871536254883,0.8370696306228638
09_03_2023_16_19_23,faciesmark,gaussian,0.1,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.024609601125121117,33.91404724121094,0.9162772297859192
09_03_2023_16_20_30,faciesmark,gaussian,0.1,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.060469891875982285,27.62506866455078,0.6783660054206848
09_03_2023_16_21_35,faciesmark,gaussian,0.1,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.10814803093671799,23.02003288269043,0.3985307812690735
09_03_2023_16_22_40,faciesmark,gaussian,0.1,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.14617983996868134,20.13031005859375,0.6620415449142456
09_03_2023_16_23_45,faciesmark,gaussian,0.1,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.08281150460243225,25.413225173950195,0.6181249022483826
09_03_2023_16_24_57,faciesmark,gaussian,0.5,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.1510990560054779,20.310665130615234,0.4102763533592224
09_03_2023_16_26_09,faciesmark,gaussian,0.5,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.15362581610679626,20.310720443725586,0.377399206161499
09_03_2023_16_27_25,faciesmark,gaussian,0.5,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.1377394050359726,21.255722045898438,0.3882904648780823
09_03_2023_16_28_42,faciesmark,gaussian,0.5,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.12166381627321243,22.319591522216797,0.4149956703186035
09_03_2023_16_30_01,faciesmark,gaussian,0.5,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.10184702277183533,23.85093879699707,0.4729015827178955
09_03_2023_16_31_17,faciesmark,gaussian,0.5,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.06797028332948685,27.16596031188965,0.6362963914871216
09_03_2023_16_32_39,faciesmark,gaussian,0.5,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.042563777416944504,29.24615478515625,0.8191637396812439
09_03_2023_16_33_57,faciesmark,gaussian,0.5,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.2519812285900116,16.249727249145508,0.38371822237968445
09_03_2023_16_35_11,faciesmark,gaussian,0.5,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.1591351330280304,19.938325881958008,0.3908504843711853
09_03_2023_16_37_00,faciesmark,poisson,0.1,poisson,0.001,0.0580618716776371,29.04137420654297,0.6363337635993958,0.011727657169103622,41.72104263305664,0.9718040227890015
09_03_2023_16_38_12,faciesmark,poisson,0.1,mixed,0.01,0.26492583751678467,15.761736869812012,0.18367615342140198,0.23493799567222595,16.649057388305664,0.23572780191898346
09_03_2023_16_39_29,faciesmark,poisson,0.1,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.03138086572289467,33.50445556640625,0.8398123979568481
09_03_2023_16_40_49,faciesmark,poisson,0.1,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.13355526328086853,21.223411560058594,0.28465956449508667
09_03_2023_16_42_12,faciesmark,poisson,0.1,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.19376753270626068,18.157861709594727,0.16072186827659607
09_03_2023_16_43_34,faciesmark,poisson,0.1,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.3509233891963959,13.495471954345703,0.051871102303266525
09_03_2023_16_44_57,faciesmark,lpf,0.1,lpf,0.001,0.0061227199621498585,45.73226547241211,0.9935465455055237,0.0048957266844809055,46.953819274902344,0.9956708550453186
09_03_2023_16_50_10,interpretation,gaussian,0.01,gaussian,0.001,0.025230173021554947,33.298255920410156,0.9026797413825989,0.06148101016879082,25.610105514526367,0.6374567747116089
09_03_2023_16_52_39,interpretation,gaussian,0.01,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.05718177184462547,26.117183685302734,0.6868615746498108
09_03_2023_16_54_31,interpretation,gaussian,0.01,gaussian,0.025,0.12615031003952026,19.3189754486084,0.4038947522640228,0.06488186866044998,24.961868286132812,0.6520102620124817
09_03_2023_16_56_48,interpretation,gaussian,0.01,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.0869084820151329,22.424598693847656,0.5189955234527588
09_03_2023_16_59_13,interpretation,gaussian,0.01,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.12368322908878326,19.356996536254883,0.3446160554885864
09_03_2023_17_01_07,interpretation,gaussian,0.01,gaussian,0.25,0.38582679629325867,9.8076171875,0.07640548050403595,0.19370123744010925,15.56801986694336,0.17919012904167175
09_03_2023_17_03_01,interpretation,gaussian,0.01,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.256213515996933,13.321966171264648,0.11270281672477722
09_03_2023_17_04_58,interpretation,gaussian,0.01,mixed,0.1,0.26728230714797974,12.967122077941895,0.2599668800830841,0.16383233666419983,16.84276580810547,0.46165093779563904
09_03_2023_17_06_52,interpretation,gaussian,0.01,poisson,0.1,0.05806872993707657,26.358488082885742,0.6853665113449097,0.06441691517829895,25.18199920654297,0.61245197057724
09_03_2023_17_08_48,interpretation,gaussian,0.05,gaussian,0.001,0.025230173021554947,33.298255920410156,0.9026797413825989,0.09654032438993454,21.654094696044922,0.38097232580184937
09_03_2023_17_10_46,interpretation,gaussian,0.05,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.08628010749816895,22.5383243560791,0.4594912528991699
09_03_2023_17_12_44,interpretation,gaussian,0.05,gaussian,0.025,0.12615031003952026,19.3189754486084,0.4038947522640228,0.08074072003364563,23.075847625732422,0.5027334690093994
09_03_2023_17_14_40,interpretation,gaussian,0.05,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.07863916456699371,23.291994094848633,0.5299219489097595
09_03_2023_17_16_35,interpretation,gaussian,0.05,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.08324794471263885,22.79132843017578,0.5170097351074219
09_03_2023_17_18_27,interpretation,gaussian,0.05,gaussian,0.25,0.38582679629325867,9.8076171875,0.07640548050403595,0.11177695542573929,20.24244499206543,0.3634326457977295
09_03_2023_17_20_20,interpretation,gaussian,0.05,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.15165366232395172,17.594873428344727,0.22336280345916748
09_03_2023_17_22_11,interpretation,gaussian,0.05,mixed,0.1,0.26728230714797974,12.967122077941895,0.2599668800830841,0.11126527935266495,20.388473510742188,0.5626747608184814
09_03_2023_17_24_05,interpretation,gaussian,0.05,poisson,0.1,0.05806872993707657,26.358488082885742,0.6853665113449097,0.09838636964559555,21.477792739868164,0.3735799193382263
09_03_2023_17_25_58,interpretation,gaussian,0.1,gaussian,0.001,0.025230173021554947,33.298255920410156,0.9026797413825989,0.11314485222101212,20.332653045654297,0.2787065804004669
09_03_2023_17_27_51,interpretation,gaussian,0.1,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.10387827455997467,20.99411392211914,0.3452202379703522
09_03_2023_17_29_47,interpretation,gaussian,0.1,gaussian,0.025,0.12615031003952026,19.3189754486084,0.4038947522640228,0.09744706749916077,21.515851974487305,0.38667652010917664
09_03_2023_17_32_06,interpretation,gaussian,0.1,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.0913807600736618,22.042219161987305,0.428954541683197
09_03_2023_17_34_27,interpretation,gaussian,0.1,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.08837594091892242,22.299800872802734,0.4677068293094635
09_03_2023_17_36_49,interpretation,gaussian,0.1,gaussian,0.25,0.38582679629325867,9.8076171875,0.07640548050403595,0.10423462092876434,20.870349884033203,0.3970237672328949
09_03_2023_17_39_04,interpretation,gaussian,0.1,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.1364106386899948,18.557374954223633,0.25183334946632385
09_03_2023_17_41_21,interpretation,gaussian,0.1,mixed,0.1,0.26728230714797974,12.967122077941895,0.2599668800830841,0.11834575980901718,19.793689727783203,0.5000140070915222
09_03_2023_17_43_35,interpretation,gaussian,0.1,poisson,0.1,0.05806872993707657,26.358488082885742,0.6853665113449097,0.11484990268945694,20.186044692993164,0.27504441142082214
09_03_2023_17_46_01,interpretation,gaussian,0.5,gaussian,0.001,0.025230173021554947,33.298255920410156,0.9026797413825989,0.15759563446044922,17.523286819458008,0.12579156458377838
09_03_2023_17_48_30,interpretation,gaussian,0.5,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.15016162395477295,17.871170043945312,0.16241101920604706
09_03_2023_17_50_55,interpretation,gaussian,0.5,gaussian,0.025,0.12615031003952026,19.3189754486084,0.4038947522640228,0.14862704277038574,17.930065155029297,0.18496203422546387
09_03_2023_17_53_29,interpretation,gaussian,0.5,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.14425326883792877,18.16798210144043,0.20834405720233917
09_03_2023_17_55_57,interpretation,gaussian,0.5,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.13347990810871124,18.821609497070312,0.24467799067497253
09_03_2023_17_58_26,interpretation,gaussian,0.5,gaussian,0.25,0.38582679629325867,9.8076171875,0.07640548050403595,0.11235597729682922,20.242149353027344,0.33026719093322754
09_03_2023_18_00_53,interpretation,gaussian,0.5,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.10301726311445236,20.817569732666016,0.3990243673324585
09_03_2023_18_03_16,interpretation,gaussian,0.5,mixed,0.1,0.26728230714797974,12.967122077941895,0.2599668800830841,0.17116108536720276,16.67959976196289,0.30733445286750793
09_03_2023_18_05_39,interpretation,gaussian,0.5,poisson,0.1,0.05806872993707657,26.358488082885742,0.6853665113449097,0.1552179902791977,17.634727478027344,0.1342921257019043
09_03_2023_18_08_15,interpretation,poisson,0.1,poisson,0.001,0.05806872993707657,26.358488082885742,0.6853665113449097,0.05064329504966736,27.27727699279785,0.7261439561843872
09_03_2023_18_10_10,interpretation,poisson,0.1,mixed,0.01,0.26728230714797974,12.967122077941895,0.2599668800830841,0.21826377511024475,14.606667518615723,0.33177030086517334
09_03_2023_18_12_07,interpretation,poisson,0.1,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.06046851724386215,25.654443740844727,0.6707478761672974
09_03_2023_18_14_02,interpretation,poisson,0.1,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.13192108273506165,18.795970916748047,0.3454417586326599
09_03_2023_18_16_13,interpretation,poisson,0.1,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.18279004096984863,16.012327194213867,0.22176317870616913
09_03_2023_18_18_41,interpretation,poisson,0.1,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.3377363681793213,11.103996276855469,0.08175510168075562
09_03_2023_18_21_13,interpretation,lpf,0.1,lpf,0.001,0.022969260811805725,33.455013275146484,0.9243398308753967,0.024874884635210037,32.802154541015625,0.9174449443817139
09_03_2023_18_41_47,faciesmark,mixed,0.01,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.07785047590732574,25.676286697387695,0.6184196472167969
09_03_2023_18_42_50,faciesmark,mixed,0.01,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.07674110680818558,25.815185546875,0.6441231369972229
09_03_2023_18_43_53,faciesmark,mixed,0.01,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.0793851688504219,25.59035301208496,0.66050124168396
09_03_2023_18_44_56,faciesmark,mixed,0.01,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.08307503163814545,25.24937629699707,0.6733598709106445
09_03_2023_18_46_02,faciesmark,mixed,0.01,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.08838073909282684,24.731307983398438,0.6615901589393616
09_03_2023_18_47_08,faciesmark,mixed,0.01,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.1029316633939743,23.435596466064453,0.46957725286483765
09_03_2023_18_48_11,faciesmark,mixed,0.01,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.12418483197689056,21.9080810546875,0.28910693526268005
09_03_2023_18_49_17,faciesmark,mixed,0.01,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.01882767491042614,36.88930892944336,0.9431136846542358
09_03_2023_18_50_21,faciesmark,mixed,0.01,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.07720230519771576,25.74301528930664,0.6219425797462463
09_03_2023_18_51_27,stdata12,gaussian,0.01,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.0679982528090477,26.960430145263672,0.6939713358879089
09_03_2023_18_51_49,stdata12,gaussian,0.01,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.06550394743680954,27.159147262573242,0.7188943028450012
09_03_2023_18_52_11,stdata12,gaussian,0.01,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.07449083775281906,26.002321243286133,0.6783162951469421
09_03_2023_18_52_34,stdata12,gaussian,0.01,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.09723697602748871,23.69980812072754,0.5578250885009766
09_03_2023_18_52_56,stdata12,gaussian,0.01,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.13493947684764862,20.86650276184082,0.39517977833747864
09_03_2023_18_53_18,stdata12,gaussian,0.01,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.20360402762889862,17.374252319335938,0.21807806193828583
09_03_2023_18_53_40,stdata12,gaussian,0.01,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.26323434710502625,15.263778686523438,0.14080162346363068
09_03_2023_18_54_02,stdata12,gaussian,0.01,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.1903003752231598,17.878585815429688,0.4950355887413025
09_03_2023_18_54_25,stdata12,gaussian,0.01,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.07063845545053482,26.583234786987305,0.6726109385490417
09_03_2023_18_54_48,stdata12,gaussian,0.05,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.11303640902042389,22.48451805114746,0.42178353667259216
09_03_2023_18_55_11,stdata12,gaussian,0.05,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.10267020016908646,23.22559928894043,0.4863739311695099
09_03_2023_18_55_33,stdata12,gaussian,0.05,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.09699250012636185,23.682748794555664,0.5251410007476807
09_03_2023_18_55_56,stdata12,gaussian,0.05,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.0947338193655014,23.879079818725586,0.5473082661628723
09_03_2023_18_56_18,stdata12,gaussian,0.05,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.09891055524349213,23.511125564575195,0.5296758413314819
09_03_2023_18_56_41,stdata12,gaussian,0.05,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.12611496448516846,21.442880630493164,0.38670316338539124
09_03_2023_18_57_02,stdata12,gaussian,0.05,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.16518552601337433,19.11107063293457,0.2492005079984665
09_03_2023_18_57_26,stdata12,gaussian,0.05,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.13257601857185364,21.014848709106445,0.5577032566070557
09_03_2023_18_57_48,stdata12,gaussian,0.05,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.11417315900325775,22.372690200805664,0.4133847653865814
09_03_2023_18_58_11,stdata12,gaussian,0.1,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.1334679126739502,21.097143173217773,0.31298205256462097
09_03_2023_18_58_33,stdata12,gaussian,0.1,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.12304408848285675,21.723812103271484,0.37162426114082336
09_03_2023_18_58_56,stdata12,gaussian,0.1,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.11617585271596909,22.1884765625,0.4105406701564789
09_03_2023_18_59_18,stdata12,gaussian,0.1,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.11025812476873398,22.613697052001953,0.44672608375549316
09_03_2023_18_59_41,stdata12,gaussian,0.1,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.10753138363361359,22.81551170349121,0.47146207094192505
09_03_2023_19_00_03,stdata12,gaussian,0.1,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.12257629632949829,21.714702606201172,0.40107789635658264
09_03_2023_19_00_24,stdata12,gaussian,0.1,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.1532115936279297,19.80877685546875,0.2683323323726654
09_03_2023_19_00_45,stdata12,gaussian,0.1,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.13974562287330627,20.526012420654297,0.4948543906211853
09_03_2023_19_01_08,stdata12,gaussian,0.1,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.13421587646007538,21.02657127380371,0.30912870168685913
09_03_2023_19_01_31,stdata12,gaussian,0.5,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.17946438491344452,18.598787307739258,0.14903423190116882
09_03_2023_19_01_51,stdata12,gaussian,0.5,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.17023931443691254,18.992483139038086,0.18571951985359192
09_03_2023_19_02_11,stdata12,gaussian,0.5,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.16532163321971893,19.213943481445312,0.21230654418468475
09_03_2023_19_02_32,stdata12,gaussian,0.5,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.16013161838054657,19.469707489013672,0.23829829692840576
09_03_2023_19_02_53,stdata12,gaussian,0.5,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.1504441350698471,19.986942291259766,0.27608010172843933
09_03_2023_19_03_13,stdata12,gaussian,0.5,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.1320933848619461,21.045413970947266,0.3469187319278717
09_03_2023_19_03_33,stdata12,gaussian,0.5,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.12472230941057205,21.441617965698242,0.38591018319129944
09_03_2023_19_03_55,stdata12,gaussian,0.5,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.2013748437166214,17.503198623657227,0.3096107840538025
09_03_2023_19_04_15,stdata12,gaussian,0.5,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.1772274523973465,18.692720413208008,0.1569080650806427
09_03_2023_19_04_35,stdata12,mixed,0.01,gaussian,0.001,0.02523018606007099,35.48396301269531,0.9312199354171753,0.14290904998779297,20.79443359375,0.2840333878993988
09_03_2023_19_04_57,stdata12,mixed,0.01,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.13920897245407104,21.015010833740234,0.3095194697380066
09_03_2023_19_05_15,stdata12,mixed,0.01,gaussian,0.025,0.12614616751670837,21.5052433013916,0.48192334175109863,0.13803617656230927,21.107585906982422,0.3230516016483307
09_03_2023_19_05_34,stdata12,mixed,0.01,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.138161763548851,21.13041114807129,0.3312041461467743
09_03_2023_19_05_52,stdata12,mixed,0.01,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.1395532786846161,21.064908981323242,0.33069315552711487
09_03_2023_19_06_10,stdata12,mixed,0.01,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.1468137502670288,20.58055305480957,0.275787889957428
09_03_2023_19_06_27,stdata12,mixed,0.01,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.16099201142787933,19.697389602661133,0.19600896537303925
09_03_2023_19_06_45,stdata12,mixed,0.01,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.08756772428750992,24.48579978942871,0.5874505043029785
09_03_2023_19_07_03,stdata12,mixed,0.01,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.14181888103485107,20.853464126586914,0.28954991698265076
09_03_2023_19_07_21,stdata12,poisson,0.1,poisson,0.001,0.05806869640946388,28.544193267822266,0.7557345032691956,0.05368673801422119,28.94742774963379,0.7797003984451294
09_03_2023_19_07_40,stdata12,poisson,0.1,mixed,0.01,0.28414517641067505,14.74528980255127,0.32621678709983826,0.2404300421476364,16.11374282836914,0.3917315602302551
09_03_2023_19_07_57,stdata12,poisson,0.1,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.06651782244443893,27.03009033203125,0.715255618095398
09_03_2023_19_08_15,stdata12,poisson,0.1,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.13967148959636688,20.547693252563477,0.4046439528465271
09_03_2023_19_08_33,stdata12,poisson,0.1,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.19049355387687683,17.899282455444336,0.2727417051792145
09_03_2023_19_08_54,stdata12,lpf,0.1,lpf,0.001,0.02770206891000271,34.0246467590332,0.9290040135383606,0.03143303841352463,33.006744384765625,0.9172235131263733
09_03_2023_19_09_11,interpretation,mixed,0.01,gaussian,0.001,0.025230173021554947,33.298255920410156,0.9026797413825989,0.11561230570077896,20.37623405456543,0.2721979320049286
09_03_2023_19_10_59,interpretation,mixed,0.01,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.11246257275342941,20.60288429260254,0.29886913299560547
09_03_2023_19_12_48,interpretation,mixed,0.01,gaussian,0.025,0.12615031003952026,19.3189754486084,0.4038947522640228,0.11211171746253967,20.662687301635742,0.3098471164703369
09_03_2023_19_14_35,interpretation,mixed,0.01,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.11276029050350189,20.656143188476562,0.3160282075405121
09_03_2023_19_16_23,interpretation,mixed,0.01,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.1143023744225502,20.56787872314453,0.3151593804359436
09_03_2023_19_18_52,interpretation,mixed,0.01,gaussian,0.25,0.38582679629325867,9.8076171875,0.07640548050403595,0.12120256572961807,19.99552345275879,0.25521543622016907
09_03_2023_19_21_30,interpretation,mixed,0.01,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.13565407693386078,18.909542083740234,0.1731671690940857
09_03_2023_19_23_18,interpretation,mixed,0.01,mixed,0.1,0.26728230714797974,12.967122077941895,0.2599668800830841,0.07250680774450302,23.96178436279297,0.5703299641609192
09_03_2023_19_25_05,interpretation,mixed,0.01,poisson,0.1,0.05806872993707657,26.358488082885742,0.6853665113449097,0.11470285803079605,20.433624267578125,0.27781450748443604
