timestamp,dataset,model_noise_type,model_noise_level,test_noise_type,test_noise_level,noisy_mae,noisy_psnr,noisy_ssim,denosied_mae,denoised_psnr,denoised_ssim
09_03_2023_16_25_30,faciesmark,gaussian,0.01,gaussian,0.001,0.025225261,35.98152161,0.876268685,0.063960798,27.42288208,0.871508658
09_03_2023_16_26_06,faciesmark,gaussian,0.01,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.015929468,36.61062241,0.985750735
09_03_2023_16_26_35,faciesmark,gaussian,0.01,gaussian,0.025,0.126068801,22.00674057,0.302653074,0.047938924,29.68532753,0.898422539
09_03_2023_16_27_12,faciesmark,gaussian,0.01,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.050929748,28.90303612,0.85236752
09_03_2023_16_27_40,faciesmark,gaussian,0.01,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.060346879,27.66949844,0.758168995
09_03_2023_16_28_16,faciesmark,gaussian,0.01,gaussian,0.25,0.384161204,12.52046394,0.046308734,0.093565777,24.27448273,0.522567332
09_03_2023_16_28_46,faciesmark,gaussian,0.01,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.128610253,21.68756485,0.336282372
09_03_2023_16_29_18,faciesmark,gaussian,0.01,mixed,0,0.264925838,15.76173687,0.183676153,0.040500358,30.09680176,0.920409858
09_03_2023_16_29_54,faciesmark,gaussian,0.01,poisson,0.05,0.058061872,29.04137421,0.636333764,0.051997982,28.65162086,0.902344108
09_03_2023_16_30_22,faciesmark,gaussian,0.05,gaussian,0.001,0.025225261,35.98152161,0.876268685,0.063383847,27.59321404,0.858950317
09_03_2023_16_30_58,faciesmark,gaussian,0.05,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.041192267,30.90087318,0.937311292
09_03_2023_16_31_27,faciesmark,gaussian,0.05,gaussian,0.025,0.126068801,22.00674057,0.302653074,0.027691687,33.60013199,0.968991399
09_03_2023_16_32_02,faciesmark,gaussian,0.05,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.024263484,34.19660187,0.972830713
09_03_2023_16_32_38,faciesmark,gaussian,0.05,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.051358376,28.97652054,0.895124972
09_03_2023_16_33_09,faciesmark,gaussian,0.05,gaussian,0.25,0.384161204,12.52046394,0.046308734,0.076546758,25.74112892,0.720094919
09_03_2023_16_33_44,faciesmark,gaussian,0.05,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.098559715,23.71658134,0.501607656
09_03_2023_16_34_12,faciesmark,gaussian,0.05,mixed,0,0.264925838,15.76173687,0.183676153,0.038856611,31.33460808,0.936682701
09_03_2023_16_34_49,faciesmark,gaussian,0.05,poisson,0.05,0.058061872,29.04137421,0.636333764,0.058524746,28.01457787,0.855371535
09_03_2023_16_37_29,faciesmark,poisson,0.05,poisson,0.05,0.058061872,29.04137421,0.636333764,0.244045675,15.49377537,0.491780579
09_03_2023_16_38_05,faciesmark,poisson,0.05,mixed,0,0.264925838,15.76173687,0.183676153,0.205894664,16.94360161,0.573170543
09_03_2023_16_38_32,faciesmark,poisson,0.05,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.214330137,16.44791794,0.558901012
09_03_2023_16_39_06,faciesmark,poisson,0.05,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.159922361,18.99249649,0.657614291
09_03_2023_16_39_35,faciesmark,poisson,0.05,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.130055472,20.93560219,0.710422158
09_03_2023_16_40_10,faciesmark,poisson,0.05,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.066635042,25.78252983,0.800442815
09_03_2023_16_40_44,faciesmark,lpf,0,lpf,0,0.00612272,45.73226547,0.993546546,0.289181113,14.33459187,0.395040512
09_03_2023_16_41_12,interpretation,gaussian,0.01,gaussian,0.001,0.025230173,33.29825592,0.902679741,0.084452145,22.52310562,0.749606192
09_03_2023_16_42_01,interpretation,gaussian,0.01,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.090522245,21.95318604,0.696781158
09_03_2023_16_42_35,interpretation,gaussian,0.01,gaussian,0.025,0.12615031,19.31897545,0.403894752,0.098635308,21.21794701,0.639202297
09_03_2023_16_43_24,interpretation,gaussian,0.01,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.106099688,20.60024071,0.571778357
09_03_2023_16_43_59,interpretation,gaussian,0.01,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.117432669,19.75558281,0.475370377
09_03_2023_16_44_46,interpretation,gaussian,0.01,gaussian,0.25,0.385826796,9.807617188,0.076405481,0.141854122,18.19499397,0.317875415
09_03_2023_16_45_19,interpretation,gaussian,0.01,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.165986553,16.90044403,0.20448187
09_03_2023_16_46_07,interpretation,gaussian,0.01,mixed,0,0.267282307,12.96712208,0.25996688,0.098433875,21.25374794,0.648170412
09_03_2023_16_46_41,interpretation,gaussian,0.01,poisson,0.05,0.05806873,26.35848808,0.685366511,0.088790454,22.04418755,0.729808629
09_03_2023_16_47_12,interpretation,gaussian,0.05,gaussian,0.001,0.025230173,33.29825592,0.902679741,0.106002308,20.69563866,0.65543139
09_03_2023_16_47_43,interpretation,gaussian,0.05,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.094789937,21.65003395,0.662370026
09_03_2023_16_48_14,interpretation,gaussian,0.05,gaussian,0.025,0.12615031,19.31897545,0.403894752,0.090307653,22.01024818,0.662715435
09_03_2023_16_48_45,interpretation,gaussian,0.05,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.090558551,21.97978783,0.649407744
09_03_2023_16_49_17,interpretation,gaussian,0.05,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.094061218,21.69520187,0.616739571
09_03_2023_16_49_49,interpretation,gaussian,0.05,gaussian,0.25,0.385826796,9.807617188,0.076405481,0.106193237,20.77454948,0.497160584
09_03_2023_16_50_20,interpretation,gaussian,0.05,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.123315468,19.59074974,0.324684352
09_03_2023_16_51_09,interpretation,gaussian,0.05,mixed,0,0.267282307,12.96712208,0.25996688,0.091718391,21.89375877,0.659406543
09_03_2023_16_52_00,interpretation,gaussian,0.05,poisson,0.05,0.05806873,26.35848808,0.685366511,0.106180154,20.62116432,0.652764559
09_03_2023_16_54_51,interpretation,poisson,0.05,poisson,0.05,0.05806873,26.35848808,0.685366511,0.243821338,13.35247421,0.363832742
09_03_2023_16_55_39,interpretation,poisson,0.05,mixed,0,0.267282307,12.96712208,0.25996688,0.215948373,14.53703594,0.399110019
09_03_2023_16_56_28,interpretation,poisson,0.05,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.229505181,13.96607113,0.376722574
09_03_2023_16_57_03,interpretation,poisson,0.05,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.184936509,15.88116837,0.431877524
09_03_2023_16_57_52,interpretation,poisson,0.05,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.159101948,17.13943481,0.469963312
09_03_2023_16_58_40,interpretation,poisson,0.05,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.114508279,19.73606491,0.55704397
09_03_2023_16_59_21,stdata12,gaussian,0.01,gaussian,0.001,0.025230186,35.48396301,0.931219935,0.093393661,23.88235664,0.750225484
09_03_2023_16_59_43,stdata12,gaussian,0.01,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.099534519,23.36938095,0.706098974
09_03_2023_17_00_05,stdata12,gaussian,0.01,gaussian,0.025,0.126146168,21.5052433,0.481923342,0.105397277,22.85911179,0.664498806
09_03_2023_17_00_27,stdata12,gaussian,0.01,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.112885341,22.27555466,0.602547646
09_03_2023_17_00_47,stdata12,gaussian,0.01,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.124305375,21.48390198,0.51250267
09_03_2023_17_01_08,stdata12,gaussian,0.01,gaussian,0.25,0.383341163,12.05723095,0.105965294,0.149125621,19.98182869,0.36032933
09_03_2023_17_01_29,stdata12,gaussian,0.01,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.175196335,18.65102005,0.242515698
09_03_2023_17_01_51,stdata12,gaussian,0.01,mixed,0,0.284145176,14.7452898,0.326216787,0.105070405,22.89076805,0.670319974
09_03_2023_17_02_13,stdata12,gaussian,0.01,poisson,0.05,0.058068696,28.54419327,0.755734503,0.09701582,23.55500793,0.744537175
09_03_2023_17_02_35,stdata12,gaussian,0.05,gaussian,0.001,0.025230186,35.48396301,0.931219935,0.11030782,22.53331566,0.682772577
09_03_2023_17_02_56,stdata12,gaussian,0.05,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.107662581,22.73695183,0.656464458
09_03_2023_17_03_15,stdata12,gaussian,0.05,gaussian,0.025,0.126146168,21.5052433,0.481923342,0.108444646,22.6907444,0.637723088
09_03_2023_17_03_37,stdata12,gaussian,0.05,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.111945868,22.47294998,0.616453826
09_03_2023_17_03_59,stdata12,gaussian,0.05,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.117643818,22.1192112,0.581583858
09_03_2023_17_04_20,stdata12,gaussian,0.05,gaussian,0.25,0.383341163,12.05723095,0.105965294,0.130958483,21.3059063,0.47734198
09_03_2023_17_04_42,stdata12,gaussian,0.05,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.147962973,20.31976128,0.3306292
09_03_2023_17_05_04,stdata12,gaussian,0.05,mixed,0,0.284145176,14.7452898,0.326216787,0.107976235,22.71474075,0.641161323
09_03_2023_17_05_23,stdata12,gaussian,0.05,poisson,0.05,0.058068696,28.54419327,0.755734503,0.109847449,22.52891922,0.678095281
09_03_2023_17_07_15,stdata12,mixed,0,gaussian,0.001,0.025230186,35.48396301,0.931219935,0.237854749,15.76194668,0.417788446
09_03_2023_17_07_37,stdata12,mixed,0,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.22314474,16.39335442,0.431608617
09_03_2023_17_07_59,stdata12,mixed,0,gaussian,0.025,0.126146168,21.5052433,0.481923342,0.208101943,17.0459156,0.446839809
09_03_2023_17_08_22,stdata12,mixed,0,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.191160411,17.79545975,0.464010775
09_03_2023_17_08_44,stdata12,mixed,0,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.170932129,18.73931885,0.483338833
09_03_2023_17_09_03,stdata12,mixed,0,gaussian,0.25,0.383341163,12.05723095,0.105965294,0.144646004,20.08275986,0.52901268
09_03_2023_17_09_25,stdata12,mixed,0,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.134471297,20.6609745,0.54185921
09_03_2023_17_09_46,stdata12,mixed,0,mixed,0,0.284145176,14.7452898,0.326216787,0.214392185,16.80070496,0.439570576
09_03_2023_17_10_09,stdata12,mixed,0,poisson,0.05,0.058068696,28.54419327,0.755734503,0.232500985,15.96412468,0.426757365
09_03_2023_17_10_32,stdata12,poisson,0.05,poisson,0.05,0.058068696,28.54419327,0.755734503,0.232500985,15.96412468,0.426757365
09_03_2023_17_10_53,stdata12,poisson,0.05,mixed,0,0.284145176,14.7452898,0.326216787,0.214392185,16.80070496,0.439570576
09_03_2023_17_11_14,stdata12,poisson,0.05,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.22314474,16.39335442,0.431608617
09_03_2023_17_11_37,stdata12,poisson,0.05,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.191160411,17.79545975,0.464010775
09_03_2023_17_11_59,stdata12,poisson,0.05,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.170932129,18.73931885,0.483338833
09_03_2023_17_12_20,stdata12,poisson,0.05,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.134471297,20.6609745,0.54185921
09_03_2023_17_12_42,stdata12,lpf,0,lpf,0,0.027702069,34.02464676,0.929004014,0.251547247,15.23816204,0.394384891
09_03_2023_17_29_18,faciesmark,gaussian,0.1,gaussian,0.001,0.025225261,35.98152161,0.876268685,0.081697784,25.10260773,0.837581396
09_03_2023_17_29_52,faciesmark,gaussian,0.1,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.049346536,29.17337227,0.921783566
09_03_2023_17_30_30,faciesmark,gaussian,0.1,gaussian,0.025,0.126068801,22.00674057,0.302653074,0.031506516,32.47803116,0.959215224
09_03_2023_17_31_10,faciesmark,gaussian,0.1,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.024843736,33.72385406,0.97168541
09_03_2023_17_31_49,faciesmark,gaussian,0.1,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.034958195,31.48352242,0.955345869
09_03_2023_17_32_19,faciesmark,gaussian,0.1,gaussian,0.25,0.384161204,12.52046394,0.046308734,0.062379178,27.20072746,0.829922736
09_03_2023_17_32_58,faciesmark,gaussian,0.1,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.091307648,24.26288986,0.579903245
09_03_2023_17_33_37,faciesmark,gaussian,0.1,mixed,0,0.264925838,15.76173687,0.183676153,0.087168157,25.03929329,0.819047987
09_03_2023_17_34_16,faciesmark,gaussian,0.1,poisson,0.05,0.058061872,29.04137421,0.636333764,0.083158255,25.00053787,0.837103307
09_03_2023_17_34_47,faciesmark,gaussian,0.5,gaussian,0.001,0.025225261,35.98152161,0.876268685,0.272466123,14.70901775,0.434138954
09_03_2023_17_35_28,faciesmark,gaussian,0.5,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.26171419,15.05937004,0.46724391
09_03_2023_17_36_07,faciesmark,gaussian,0.5,gaussian,0.025,0.126068801,22.00674057,0.302653074,0.23202467,16.09872437,0.515681088
09_03_2023_17_36_46,faciesmark,gaussian,0.5,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.191026762,17.768013,0.589484394
09_03_2023_17_37_18,faciesmark,gaussian,0.5,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.141552716,20.31835556,0.69169122
09_03_2023_17_37_57,faciesmark,gaussian,0.5,gaussian,0.25,0.384161204,12.52046394,0.046308734,0.078357711,24.8739357,0.824351311
09_03_2023_17_38_36,faciesmark,gaussian,0.5,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.052659377,26.36203766,0.874346852
09_03_2023_17_39_09,faciesmark,gaussian,0.5,mixed,0,0.264925838,15.76173687,0.183676153,0.289252251,14.34422016,0.433787107
09_03_2023_17_39_46,faciesmark,gaussian,0.5,poisson,0.05,0.058061872,29.04137421,0.636333764,0.268448353,14.83710384,0.445771486
09_03_2023_17_40_26,faciesmark,poisson,0.05,poisson,0.05,0.058061872,29.04137421,0.636333764,0.244045675,15.49377537,0.491780579
09_03_2023_17_41_02,faciesmark,poisson,0.05,mixed,0,0.264925838,15.76173687,0.183676153,0.205894664,16.94360161,0.573170543
09_03_2023_17_41_32,faciesmark,poisson,0.05,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.214330137,16.44791794,0.558901012
09_03_2023_17_42_07,faciesmark,poisson,0.05,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.159922361,18.99249649,0.657614291
09_03_2023_17_42_43,faciesmark,poisson,0.05,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.130055472,20.93560219,0.710422158
09_03_2023_17_43_18,faciesmark,poisson,0.05,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.066635042,25.78252983,0.800442815
09_03_2023_17_43_48,faciesmark,lpf,0,lpf,0,0.00612272,45.73226547,0.993546546,0.289181113,14.33459187,0.395040512
09_03_2023_17_44_25,interpretation,gaussian,0.1,gaussian,0.001,0.025230173,33.29825592,0.902679741,0.110670015,20.32900238,0.641945064
09_03_2023_17_45_20,interpretation,gaussian,0.1,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.108494923,20.48641777,0.626120746
09_03_2023_17_46_08,interpretation,gaussian,0.1,gaussian,0.025,0.12615031,19.31897545,0.403894752,0.100694247,21.04698181,0.642144382
09_03_2023_17_47_01,interpretation,gaussian,0.1,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.093617924,21.58608437,0.658673942
09_03_2023_17_47_58,interpretation,gaussian,0.1,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.090591118,21.83041191,0.658354282
09_03_2023_17_48_41,interpretation,gaussian,0.1,gaussian,0.25,0.385826796,9.807617188,0.076405481,0.099403933,21.17875671,0.570833147
09_03_2023_17_49_36,interpretation,gaussian,0.1,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.117710471,19.91783333,0.376466483
09_03_2023_17_50_33,interpretation,gaussian,0.1,mixed,0,0.267282307,12.96712208,0.25996688,0.092549123,21.82258034,0.647945762
09_03_2023_17_51_11,interpretation,gaussian,0.1,poisson,0.05,0.05806873,26.35848808,0.685366511,0.102824852,20.92246056,0.655736446
09_03_2023_17_52_08,interpretation,gaussian,0.5,gaussian,0.001,0.025230173,33.29825592,0.902679741,0.341003269,10.69447899,0.246690243
09_03_2023_17_53_08,interpretation,gaussian,0.5,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.344170094,10.66443539,0.237863541
09_03_2023_17_53_47,interpretation,gaussian,0.5,gaussian,0.025,0.12615031,19.31897545,0.403894752,0.301363051,11.77456379,0.275528431
09_03_2023_17_54_43,interpretation,gaussian,0.5,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.234538004,13.87728214,0.352930248
09_03_2023_17_55_39,interpretation,gaussian,0.5,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.171194077,16.4990654,0.452487886
09_03_2023_17_56_16,interpretation,gaussian,0.5,gaussian,0.25,0.385826796,9.807617188,0.076405481,0.119730495,19.32341766,0.562653124
09_03_2023_17_57_12,interpretation,gaussian,0.5,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.110163651,19.97251511,0.565692544
09_03_2023_17_58_10,interpretation,gaussian,0.5,mixed,0,0.267282307,12.96712208,0.25996688,0.32746011,11.05694962,0.260274261
09_03_2023_17_58_49,interpretation,gaussian,0.5,poisson,0.05,0.05806873,26.35848808,0.685366511,0.338150084,10.78433323,0.245941237
09_03_2023_17_59_45,interpretation,poisson,0.05,poisson,0.05,0.05806873,26.35848808,0.685366511,0.243821338,13.35247421,0.363832742
09_03_2023_18_00_37,interpretation,poisson,0.05,mixed,0,0.267282307,12.96712208,0.25996688,0.215948373,14.53703594,0.399110019
09_03_2023_18_01_12,interpretation,poisson,0.05,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.229505181,13.96607113,0.376722574
09_03_2023_18_02_04,interpretation,poisson,0.05,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.184936509,15.88116837,0.431877524
09_03_2023_18_02_54,interpretation,poisson,0.05,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.159101948,17.13943481,0.469963312
09_03_2023_18_03_31,interpretation,poisson,0.05,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.114508279,19.73606491,0.55704397
09_03_2023_18_04_21,interpretation,lpf,0,lpf,0,0.022969261,33.45501328,0.924339831,0.266950995,12.52750397,0.331453711
09_03_2023_18_05_13,stdata12,gaussian,0.5,gaussian,0.001,0.025230186,35.48396301,0.931219935,0.330687582,13.11869526,0.293380678
09_03_2023_18_05_34,stdata12,gaussian,0.5,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.336092502,13.02536678,0.281788439
09_03_2023_18_05_54,stdata12,gaussian,0.5,gaussian,0.025,0.126146168,21.5052433,0.481923342,0.313905954,13.60503483,0.30540666
09_03_2023_18_06_17,stdata12,gaussian,0.5,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.262384295,15.09808826,0.362352788
09_03_2023_18_06_39,stdata12,gaussian,0.5,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.199424133,17.37312698,0.443094283
09_03_2023_18_07_01,stdata12,gaussian,0.5,gaussian,0.25,0.383341163,12.05723095,0.105965294,0.141818911,20.13292503,0.544569135
09_03_2023_18_07_23,stdata12,gaussian,0.5,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.13190566,20.74696732,0.541714609
09_03_2023_18_07_44,stdata12,gaussian,0.5,mixed,0,0.284145176,14.7452898,0.326216787,0.338377506,12.95229626,0.286219925
09_03_2023_18_08_05,stdata12,gaussian,0.5,poisson,0.05,0.058068696,28.54419327,0.755734503,0.328297347,13.19908237,0.292808741
09_03_2023_18_08_25,stdata12,mixed,0,gaussian,0.001,0.025230186,35.48396301,0.931219935,0.237854749,15.76194668,0.417788446
09_03_2023_18_08_46,stdata12,mixed,0,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.22314474,16.39335442,0.431608617
09_03_2023_18_09_07,stdata12,mixed,0,gaussian,0.025,0.126146168,21.5052433,0.481923342,0.208101943,17.0459156,0.446839809
09_03_2023_18_09_28,stdata12,mixed,0,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.191160411,17.79545975,0.464010775
09_03_2023_18_09_50,stdata12,mixed,0,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.170932129,18.73931885,0.483338833
09_03_2023_18_10_11,stdata12,mixed,0,gaussian,0.25,0.383341163,12.05723095,0.105965294,0.144646004,20.08275986,0.52901268
09_03_2023_18_10_30,stdata12,mixed,0,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.134471297,20.6609745,0.54185921
09_03_2023_18_10_53,stdata12,mixed,0,mixed,0,0.284145176,14.7452898,0.326216787,0.214392185,16.80070496,0.439570576
09_03_2023_18_11_15,stdata12,mixed,0,poisson,0.05,0.058068696,28.54419327,0.755734503,0.232500985,15.96412468,0.426757365
09_03_2023_18_11_37,stdata12,mixed,0,gaussian,0.001,0.025230186,35.48396301,0.931219935,0.237854749,15.76194668,0.417788446
09_03_2023_18_11_59,stdata12,mixed,0,gaussian,0.01,0.079784572,25.48399544,0.670388758,0.22314474,16.39335442,0.431608617
09_03_2023_18_12_20,stdata12,mixed,0,gaussian,0.025,0.126146168,21.5052433,0.481923342,0.208101943,17.0459156,0.446839809
09_03_2023_18_12_42,stdata12,mixed,0,gaussian,0.05,0.178330973,18.5019474,0.334095031,0.191160411,17.79545975,0.464010775
09_03_2023_18_13_04,stdata12,mixed,0,gaussian,0.1,0.25115484,15.55973339,0.209838882,0.170932129,18.73931885,0.483338833
09_03_2023_18_13_25,stdata12,mixed,0,gaussian,0.25,0.383341163,12.05723095,0.105965294,0.144646004,20.08275986,0.52901268
09_03_2023_18_13_47,stdata12,mixed,0,gaussian,0.5,0.500936627,9.973261833,0.06801746,0.134471297,20.6609745,0.54185921
09_03_2023_18_14_08,stdata12,mixed,0,mixed,0,0.284145176,14.7452898,0.326216787,0.214392185,16.80070496,0.439570576
09_03_2023_18_14_29,stdata12,mixed,0,poisson,0.05,0.058068696,28.54419327,0.755734503,0.232500985,15.96412468,0.426757365
09_03_2023_18_14_51,interpretation,mixed,0,gaussian,0.001,0.025230173,33.29825592,0.902679741,0.251606703,13.08032608,0.354434043
09_03_2023_18_15_43,interpretation,mixed,0,gaussian,0.01,0.079784848,23.29825592,0.590405822,0.229505181,13.96607113,0.376722574
09_03_2023_18_16_22,interpretation,mixed,0,gaussian,0.025,0.12615031,19.31897545,0.403894752,0.207811698,14.86890316,0.401430428
09_03_2023_18_17_11,interpretation,mixed,0,gaussian,0.05,0.17837593,16.31201553,0.26463291,0.184936509,15.88116837,0.431877524
09_03_2023_18_18_02,interpretation,mixed,0,gaussian,0.1,0.251596063,13.34937191,0.15802747,0.159101948,17.13943481,0.469963312
09_03_2023_18_18_46,interpretation,mixed,0,gaussian,0.25,0.385826796,9.807617188,0.076405481,0.127934828,18.8872261,0.529111505
09_03_2023_18_19_32,interpretation,mixed,0,gaussian,0.5,0.504992425,7.734253883,0.048497789,0.114508279,19.73606491,0.55704397
09_03_2023_18_20_20,interpretation,mixed,0,mixed,0,0.267282307,12.96712208,0.25996688,0.215948373,14.53703594,0.399110019
09_03_2023_18_21_07,interpretation,mixed,0,poisson,0.05,0.05806873,26.35848808,0.685366511,0.243821338,13.35247421,0.363832742
09_03_2023_18_21_48,faciesmark,mixed,0,gaussian,0.001,0.025225261,35.98152161,0.876268685,0.262207508,14.99342346,0.460597008
09_03_2023_18_22_24,faciesmark,mixed,0,gaussian,0.01,0.079755589,25.98298836,0.493576258,0.214330137,16.44791794,0.558901012
09_03_2023_18_22_59,faciesmark,mixed,0,gaussian,0.025,0.126068801,22.00674057,0.302653074,0.186017796,17.62807083,0.610923946
09_03_2023_18_23_32,faciesmark,mixed,0,gaussian,0.05,0.178139612,19.00768471,0.185703531,0.159922361,18.99249649,0.657614291
09_03_2023_18_23_58,faciesmark,mixed,0,gaussian,0.1,0.250926048,16.05598068,0.104373381,0.130055472,20.93560219,0.710422158
09_03_2023_18_24_24,faciesmark,mixed,0,gaussian,0.25,0.384161204,12.52046394,0.046308734,0.089349411,24.22217751,0.765503347
09_03_2023_18_24_50,faciesmark,mixed,0,gaussian,0.5,0.502814174,10.43847847,0.027026296,0.066635042,25.78252983,0.800442815
09_03_2023_18_25_17,faciesmark,mixed,0,mixed,0,0.264925838,15.76173687,0.183676153,0.205894664,16.94360161,0.573170543
09_03_2023_18_25_42,faciesmark,mixed,0,poisson,0.05,0.058061872,29.04137421,0.636333764,0.244045675,15.49377537,0.491780579